----------------------------------------------
| ThalamusMaster 2021/2/6 - 14:31 - AGENT-MJ |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
player2	player2	3	2251.0
player2	mainscreen	16	5078.75
player2	player0	6	4175.833333333333
player2	player1	15	1722.1333333333334
player2	elsewhere	0	0
player0	player2	6	1031.8333333333333
player0	mainscreen	29	1650.896551724138
player0	player0	0	0
player0	player1	7	1177.4285714285713
player0	elsewhere	36	2258.277777777778
player1	player2	9	1523.0
player1	mainscreen	11	2137.4545454545455
player1	player0	7	1474.2857142857142
player1	player1	0	0
player1	elsewhere	26	3513.8846153846152
>cooccurrenceGazeBehavior	sequence	num_behav	avg_dur
Total_MT	player2_player0	5	799.4
MT	player2_player0	3	1149.0
MT	player0_player2	2	275.0
Total_MT	player2_player1	8	1353.0
MT	player2_player1	1	1193.0
MT	player1_player2	7	1375.857142857143
Total_MT	player0_player1	2	421.0
MT	player0_player1	1	28.0
MT	player1_player0	1	814.0
Total_JA	player2_player0_mainscreen	26	1583.3461538461538
JA	player2_player0_mainscreen	19	1868.2631578947369
JA	player0_player2_mainscreen	7	810.0
Total_JA	player2_player1_mainscreen	11	2036.090909090909
JA	player2_player1_mainscreen	6	1973.6666666666667
JA	player1_player2_mainscreen	5	2111.0
Total_JA	player0_player1_mainscreen	10	810.4
JA	player0_player1_mainscreen	4	647.75
JA	player1_player0_mainscreen	6	918.8333333333334
Total_JA	player2_player0_player1	7	974.7142857142857
JA	player2_player0_player1	2	1086.0
JA	player0_player2_player1	5	930.2
Total_JA	player2_player1_player0	7	949.8571428571429
JA	player2_player1_player0	3	641.0
JA	player1_player2_player0	4	1181.5
Total_JA	player0_player1_player2	2	481.0
JA	player0_player1_player2	0	nan
JA	player1_player0_player2	2	481.0
>GB	gazers_pair	max_R	max_lag_adj
MUTUAL_GAZE	player2_player0	0.401609664451	27.0
MUTUAL_GAZE	player2_player1	0.57314507356	-2.0
MUTUAL_GAZE	player0_player1	0.160573883697	-19.0
JA_mainscreen	player2_player0	0.659971694916	1.0
JA_mainscreen	player2_player1	0.512315519579	0.0
JA_mainscreen	player0_player1	0.329624589784	50.0
JA_player1	player2_player0	0.464042367389	-1.0
JA_player0	player2_player1	0.405133087433	2.0
JA_player2	player0_player1	0.117098371424	1.0
----------------------------------------------
| ThalamusMaster 2021/2/6 - 14:44 - AGENT-M |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
player2	player2	0	0
player2	mainscreen	12	8919.916666666666
player2	player0	9	1330.3333333333333
player2	player1	7	2089.8571428571427
player2	elsewhere	0	0
player0	player2	11	1333.7272727272727
player0	mainscreen	37	1472.4864864864865
player0	player0	0	0
player0	player1	14	1561.642857142857
player0	elsewhere	39	1071.3846153846155
player1	player2	6	2155.1666666666665
player1	mainscreen	16	3146.125
player1	player0	8	1254.5
player1	player1	0	0
player1	elsewhere	25	2373.24
>cooccurrenceGazeBehavior	sequence	num_behav	avg_dur
Total_MT	player2_player0	10	999.0
MT	player2_player0	2	1237.5
MT	player0_player2	8	939.375
Total_MT	player2_player1	6	1599.3333333333333
MT	player2_player1	0	nan
MT	player1_player2	6	1599.3333333333333
Total_MT	player0_player1	6	761.3333333333334
MT	player0_player1	4	738.25
MT	player1_player0	2	807.5
Total_JA	player2_player0_mainscreen	37	1323.1891891891892
JA	player2_player0_mainscreen	30	1413.0666666666666
JA	player0_player2_mainscreen	7	938.0
Total_JA	player2_player1_mainscreen	18	2385.222222222222
JA	player2_player1_mainscreen	14	2415.785714285714
JA	player1_player2_mainscreen	4	2278.25
Total_JA	player0_player1_mainscreen	20	1101.2
JA	player0_player1_mainscreen	7	894.1428571428571
JA	player1_player0_mainscreen	13	1212.6923076923076
Total_JA	player2_player0_player1	2	1.0
JA	player2_player0_player1	2	1.0
JA	player0_player2_player1	0	nan
Total_JA	player2_player1_player0	2	466.5
JA	player2_player1_player0	0	nan
JA	player1_player2_player0	2	466.5
Total_JA	player0_player1_player2	5	930.0
JA	player0_player1_player2	4	1046.25
JA	player1_player0_player2	1	465.0
>GB	gazers_pair	max_R	max_lag_adj
MUTUAL_GAZE	player2_player0	0.749912368622	3.0
MUTUAL_GAZE	player2_player1	0.696944497986	1.0
MUTUAL_GAZE	player0_player1	0.321156293835	-21.0
JA_mainscreen	player2_player0	0.639745217228	0.0
JA_mainscreen	player2_player1	0.584732066583	-3.0
JA_mainscreen	player0_player1	0.465370694448	-38.0
JA_player1	player2_player0	0.160915652484	-43.0
JA_player0	player2_player1	0.19013337218	17.0
JA_player2	player0_player1	0.463996223086	-26.0
----------------------------------------------
| ThalamusMaster 2021/2/6 - 14:51 - AGENT-R |
