25/09/2023 13:18:33 P0  P1  P2 mainscreen Waiting
25/09/2023 13:18:34 P0  P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:35 P0  P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:36 P0  P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:37 P0  P1 player2 P2 mainscreen Waiting
25/09/2023 13:18:38 P0  P1 player2 P2 mainscreen Waiting
25/09/2023 13:18:39 P0  P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:40 P0  P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:41 P0  P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:42 P0  P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:43 P0  P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:44 P0  P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:45 P0  P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:46 P0  P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:47 P0 player1 P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:48 P0 mainscreen P1 player2 P2 mainscreen Waiting
25/09/2023 13:18:49 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:50 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:51 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:52 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:53 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:18:54 P0 mainscreen P1 mainscreen P2 player0 Waiting
25/09/2023 13:18:55 P0 mainscreen P1 mainscreen P2 player0 Waiting
25/09/2023 13:18:56 P0 mainscreen P1 mainscreen P2 player0 Waiting
25/09/2023 13:18:57 P0 mainscreen P1 mainscreen P2 player1 Waiting
25/09/2023 13:18:58 P0 mainscreen P1 mainscreen P2 player1 Waiting
25/09/2023 13:18:59 P0 mainscreen P1 mainscreen P2 player1 Waiting
25/09/2023 13:19:00 P0 mainscreen P1 mainscreen P2 player0 Waiting
25/09/2023 13:19:01 P0 mainscreen P1 mainscreen P2 player0 Waiting
25/09/2023 13:19:02 P0 mainscreen P1 mainscreen P2 player0 Waiting
25/09/2023 13:19:03 P0 mainscreen P1 mainscreen P2 player1 Waiting
25/09/2023 13:19:04 P0 mainscreen P1 mainscreen P2 player1 Waiting
25/09/2023 13:19:05 P0 mainscreen P1 mainscreen P2 player1 Waiting
25/09/2023 13:19:06 P0 mainscreen P1 mainscreen P2 player0 Waiting
25/09/2023 13:19:07 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:19:08 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:19:09 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:19:10 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:19:11 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:19:12 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:19:13 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:19:14 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:19:15 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:19:16 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:19:17 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:19:18 P0 mainscreen P1 mainscreen P2 mainscreen Game
